# Claude Code CLI surface — generated by tools/check-drift.zsh
# Do not hand-edit; regenerate with: zsh tools/check-drift.zsh snapshot
version | 2.1.220 (Claude Code)

# --- commands (commander-generated help) ---
claude agents | opt | --add-dir <directory>
claude agents | opt | --agent <agent>
claude agents | opt | --all
claude agents | opt | --allow-dangerously-skip-permissions
claude agents | opt | --cwd <path>
claude agents | opt | --dangerously-skip-permissions
claude agents | opt | --effort <level>
claude agents | opt | --json
claude agents | opt | --mcp-config <config>
claude agents | opt | --model <model>
claude agents | opt | --permission-mode <mode>
claude agents | opt | --plugin-dir <path>
claude agents | opt | --setting-sources <sources>
claude agents | opt | --settings <file-or-json>
claude agents | opt | --strict-mcp-config
claude agents | opt | -h, --help
claude agents | usage | claude agents [options]
claude auth login | opt | --claudeai
claude auth login | opt | --console
claude auth login | opt | --email <email>
claude auth login | opt | --sso
claude auth login | opt | -h, --help
claude auth login | usage | claude auth login [options]
claude auth logout | opt | -h, --help
claude auth logout | usage | claude auth logout [options]
claude auth status | opt | --json
claude auth status | opt | --text
claude auth status | opt | -h, --help
claude auth status | usage | claude auth status [options]
claude auth | opt | -h, --help
claude auth | sub | help
claude auth | sub | login
claude auth | sub | logout
claude auth | sub | status
claude auth | usage | claude auth [options] [command]
claude auto-mode config | opt | -h, --help
claude auto-mode config | usage | claude auto-mode config [options]
claude auto-mode critique | opt | --model <model>
claude auto-mode critique | opt | -h, --help
claude auto-mode critique | usage | claude auto-mode critique [options]
claude auto-mode defaults | opt | --label <prefix>
claude auto-mode defaults | opt | -h, --help
claude auto-mode defaults | usage | claude auto-mode defaults [options]
claude auto-mode reset | opt | -h, --help
claude auto-mode reset | opt | -y, --yes
claude auto-mode reset | usage | claude auto-mode reset [options]
claude auto-mode | opt | -h, --help
claude auto-mode | sub | config
claude auto-mode | sub | critique
claude auto-mode | sub | defaults
claude auto-mode | sub | help
claude auto-mode | sub | reset
claude auto-mode | usage | claude auto-mode [options] [command]
claude doctor | opt | -h, --help
claude doctor | usage | claude doctor [options]
claude gateway | opt | --config <path>
claude gateway | opt | -h, --help
claude gateway | usage | claude gateway [options]
claude import-conversations | opt | --cwd <dir>
claude import-conversations | opt | --dry-run
claude import-conversations | opt | -h, --help
